"Data Import Template"
"Table:","Message Templates"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Message Templates","",""
"Column Labels:","ID","Template Name","Message Body"
"Column Name:","name","template_name","message_body"
"Mandatory:","Yes","No","No"
"Type:","Data (text)","Data","Text"
"Info:","","",""
"Start entering data below this line"
"","""Advertisement Notification""","Advertisement Notification","Dear  [access_type] , 
[title],  [sms_desc]
Thank you.  
Team HealthSnapp."
"","""registration""","registration","Dear Customer, Your Mobile number verification code for HealthSnapp account is [mobile_code] Thank you.Team HealthSnapp."
"","""DM Share""","DM Share","Dear [dr], [patient] has shared DM with You which is accesible upto [duration]. Thank you. Team HealthSnapp."
"","""Event Share Email""","Event Share Email","Dear Customer, [patient] has shared Event with you to [email]. Thank you. Team HealthSnapp."
"","""Event Share""","Event Share","Dear Customer, [patient] has shared Event with You which is accesible upto [duration]. Thank you. Team HealthSnapp."
"","""event""","event","Dear Customer, Your Health Record For [event_title] has been shared with [provider_name] Thank you. Team HealthSnapp."
"","""medication""","medication","Dear Customer, Your Medication Reminder [medication] Thank you. Team HealthSnapp."
"","""delink""","delink","Dear Customer, PHR Linked Account of [phr_name] is De-linked from your Account. Thank you. Team HealthSnapp."
"","""todo""","todo","Dear Customer, Your ToDo Reminder [to_do] Thank you. Team HealthSnapp."
"","""appointments""","appointments","Dear Customer, Your Appointment with [doctor_name] is scheduled at [appointment_time] Thank you.Team HealthSnapp."
